original_major	simplified_major
ACCOUNTING	Business & Economics
ADMINISTRATION OF JUSTICE	Social & Behavioral Sciences
APPLIED STATISTICS AND DATA SCIENCE	Data Science & Math
BIOCHEMISTRY	Chemical & Biological Sciences
BIOLOGICAL CHEMISTRY	Chemical & Biological Sciences
BIOLOGICAL SCIENCES	Chemical & Biological Sciences
BIOLOGY	Chemical & Biological Sciences
BIOLOGY (PRE-MED)	Chemical & Biological Sciences
BIOMEDICAL INFORMATICS	Health & Biomedical Informatics
BIOMEDICAL SCIENCES	Health & Biomedical Informatics
BIOTECHNOLOGY	Health & Biomedical Informatics
BUSINESS ADMINISTRATION	Business & Economics
BUSINESS ANALYTICS	Business & Economics
CELL AND MOLECULAR BIOLOGY	Chemical & Biological Sciences
CELLULAR AND MOLECULAR BIOCHEMISTRY	Chemical & Biological Sciences
CHEMICAL ENGINEERING	Engineering
CHEMISTRY	Chemical & Biological Sciences
CLINICAL LABORATORY SCIENCE	Nursing & Clinical Health
CLINICAL PSYCHOLOGY	Social & Behavioral Sciences
COMMUNICATION DISORDERS	Nursing & Clinical Health
COMPUTATIONAL SCIENCE	Data Science & Math
COMPUTER ENGINEERING	Computing & IT
COMPUTER INFORMATION SYSTEMS	Computing & IT
COMPUTER SCIENCE	Computing & IT
COMPUTER SCIENCE AND ENGINEERING	Computing & IT
COUNSELING PSYCHOLOGY	Social & Behavioral Sciences
CYBERSECURITY	Computing & IT
DATA AND INFORMATION SCIENCES	Data Science & Math
DIETETICS	Public Health & Nutrition
EARLY CHILDHOOD EDUCATION	Education & Humanities
ECONOMICS DATA ANALYTICS	Business & Economics
EDUCATIONAL LEADERSHIP	Education & Humanities
ELECTRICAL ENGINEERING	Engineering
ELEMENTARY EDUCATION AND TEACHING	Education & Humanities
ENGLISH	Education & Humanities
EPIDEMIOLOGY	Public Health & Nutrition
EXPERIMENTAL PSYCHOLOGY	Social & Behavioral Sciences
FINANCE	Business & Economics
GENERAL EXPERIMENTAL PSYCHOLOGY	Social & Behavioral Sciences
GENERAL PSYCHOLOGY	Social & Behavioral Sciences
GENERAL STUDIES	Education & Humanities
HEALTH	Public Health & Nutrition
HEALTH CARE ADMINISTRATION	Public Health & Nutrition
HEALTH INFORMATICS	Health & Biomedical Informatics
HEALTH INFORMATION MANAGEMENT	Health & Biomedical Informatics
HEALTH PROMOTION/HEALTH EDUCATION	Public Health & Nutrition
HEALTHCARE MANAGEMENT	Public Health & Nutrition
HISTORY AND POLITICAL THOUGHT	Social & Behavioral Sciences
HUMAN NUTRITION AND FOOD	Public Health & Nutrition
INDUSTRIAL ENGINEERING	Engineering
INFORMATICS	Health & Biomedical Informatics
INFORMATION SYSTEMS	Health & Biomedical Informatics
INFORMATION TECHNOLOGY	Computing & IT
INTEGRATED HEALTH SCIENCES	Nursing & Clinical Health
INTERDISCIPLINARY HEALTH SCIENCES	Nursing & Clinical Health
INTERNATIONAL BUSINESS ADMINISTRATION	Business & Economics
MANAGEMENT INFORMATION SYSTEMS AND DATA ANALYTICS	Business & Economics
MARKETING	Business & Economics
MATHEMATICS	Data Science & Math
MECHANICAL ENGINEERING	Engineering
MEDICAL LABORATORY SCIENCE	Nursing & Clinical Health
MEDICINE	Nursing & Clinical Health
MICROBIOLOGY	Chemical & Biological Sciences
NEUROSCIENCE	Chemical & Biological Sciences
NURSE EDUCATION	Nursing & Clinical Health
NURSING ADMINISTRATION AND MANAGEMENT	Nursing & Clinical Health
NURSING INFORMATICS	Health & Biomedical Informatics
NURSING SCIENCE	Nursing & Clinical Health
NUTRITION	Public Health & Nutrition
OTHER	Education & Humanities
PHYSICAL EDUCATION	Education & Humanities
PHYSICAL THERAPY	Nursing & Clinical Health
POLITICAL SCIENCE	Social & Behavioral Sciences
PUBLIC HEALTH	Public Health & Nutrition
REHABILITATION SCIENCES	Nursing & Clinical Health
SOCIAL WORK	Social & Behavioral Sciences
SOCIOLOGY	Social & Behavioral Sciences
STATISTICS	Data Science & Math
SYSTEMS ENGINEERING	Engineering
URBAN PLANNING AND ENVIRONMENTAL POLICY	Social & Behavioral Sciences
